time,bits/s
1574443904.823643,121586001.747602
1574443904.925937,127489655.1492506
1574443905.028102,126036284.57068942
1574443905.131335,127911172.78867991
1574443905.233114,126741090.19431229
1574443905.336213,126674231.46946
1574443905.439256,126414530.67671596
1574443905.539317,129491028.38274185
1574443905.64264,123301988.3527472
1574443905.745417,125737903.71297733
1574443905.845565,124530541.45364115
1574443905.945843,125078958.87707411
1574443906.049291,126253938.9706254
1574443906.152704,125986123.49665147
1574443906.255659,126203035.07832047
1574443906.357955,127224727.46566683
1574443906.461703,127152889.77904311
1574443906.564845,126421356.32625212
1574443906.66493,129121702.62331967
1574443906.767448,122113226.32932602
1574443906.870456,126804477.19115846
1574443906.97405,126895929.20635477
1574443907.075831,127184064.31376372
1574443907.178804,126527291.22319452
1574443907.281986,127628843.0449288
1574443907.384783,126109286.86405192
1574443907.488062,126022889.11224799
1574443907.592087,125240699.8930497
1574443907.695554,126044707.51769255
1574443907.797275,128075644.54694994
1574443907.900686,125959389.96566604
1574443908.004347,130359675.5678442
1574443908.10622,123680666.06473732
1574443908.208836,127011065.55140182
1574443908.308985,124968475.38171357
1574443908.411522,128204865.22933444
1574443908.514991,124917122.4439444
1574443908.615661,129551949.14639609
1574443908.718938,126475273.90771662
1574443908.822413,126000833.8435437
1574443908.925317,126578905.92839378
1574443909.028386,127189149.86845413
1574443909.131318,125891254.3808067
1574443909.231427,127574286.56956193
1574443909.334397,124505957.32831636
1574443909.437459,126195436.1165969
1574443909.537511,129157720.00638942
1574443909.640578,122460276.5235577
1574443909.743925,125943476.4882904
1574443909.845111,129425266.00381418
1574443909.947952,126459195.27188964
1574443910.051383,126604906.21777119
1574443910.154719,125374338.46243045
1574443910.256194,129410422.32226093
1574443910.358972,126191324.50285603
1574443910.459064,129914063.17490867
1574443910.562009,122377841.20462318
1574443910.662146,124636478.90595815
1574443910.765763,125396449.53218725
1574443910.867125,129306918.90320987
1574443910.970171,126427700.10687125
1574443911.073253,126592581.85673957
1574443911.17336,129100778.67215724
1574443911.277165,121589023.64563164
1574443911.379591,127404773.87650469
1574443911.479693,124943816.87205128
1574443911.579749,129734118.89875361
1574443911.682755,122298210.38018733
1574443911.785028,127379004.90623301
1574443911.888988,125525151.59390509
1574443911.990396,128928434.06684734
1574443912.092,127757983.84824154
1574443912.192106,128991448.5104014
1574443912.294116,123844517.72382668
1574443912.394205,129363485.9918718
1574443912.497372,122446616.77419356
1574443912.59747,129103239.96148896
1574443912.700473,122100333.82025205
1574443912.804149,126684826.20068395
1574443912.905386,128563509.13143814
1574443913.005483,127508041.30081162
1574443913.108207,124334522.87713464
1574443913.209821,129008812.31782849
1574443913.31216,127206930.93511078
1574443913.414991,126469170.03726259
1574443913.515104,129897037.4037753
1574443913.616974,123657788.89018653
1574443913.719882,125907011.57835107
1574443913.82002,130240631.63412647
1574443913.922307,122826463.1123155
1574443914.022434,126298150.69030538
1574443914.125385,125997434.15568729
1574443914.227033,127240465.96856938
1574443914.330154,126553049.0367454
1574443914.433139,126711622.12520903
1574443914.535659,127888315.0056809
1574443914.637982,127467357.2363036
1574443914.740209,126398277.07102193
1574443914.842121,128276621.9633749
1574443914.943441,128784666.35641514
1574443915.046435,126696949.90721802
1574443915.146518,129842523.66728014
1574443915.248361,123357520.60293005
1574443915.351245,126731175.23440325
1574443915.455374,125354020.41439484
1574443915.558191,127021854.95022339
1574443915.660572,127263239.00248647
1574443915.763279,126147359.09515847
1574443915.866226,127533023.20497447
1574443915.969651,125518373.48415372
1574443916.069751,128777973.1998055
1574443916.171705,124362391.28612205
1574443916.274313,127195057.49722983
1574443916.374367,124989989.20296113
1574443916.47735,126597916.74116759
1574443916.577433,130054645.91594107
1574443916.679397,123095242.68717805
1574443916.779636,129778790.74598387
1574443916.881934,123155474.80903555
1574443916.985382,125478143.14347708
1574443917.088277,126828828.29739498
1574443917.191376,126487472.15132168
1574443917.294553,127181798.41266817
1574443917.396196,127370620.80098383
1574443917.49628,129255375.11186121
1574443917.60001,122010897.35913515
1574443917.702831,126355279.8794023
1574443917.802937,130357643.51469922
1574443917.905477,122872103.8685986
1574443918.008886,125405146.47367741
